transaction_id,date,month,month_number,year,merchant,description,category,subcategory,payment_method,amount,transaction_type,notes,is_recurring,weekday
TXN202501139,2025-01-07,January,1,2025,Uber,Uber - Bus,Transport,Bus,Net Banking,2099,debit,Local travel,No,Tuesday
TXN202501233,2025-01-07,January,1,2025,Starbucks,Starbucks - Snacks,Coffee,Snacks,Debit Card,160,debit,Quick break,No,Tuesday
TXN202501358,2025-01-07,January,1,2025,Netflix,Netflix - Mobile Recharge,Bills & Utilities,Mobile Recharge,UPI,833,debit,Recharge,Yes,Tuesday
TXN202500408,2025-01-08,January,1,2025,Swiggy,Swiggy - Online Food,Food,Online Food,Wallet,965,debit,Late night order,No,Wednesday
TXN202501399,2025-01-08,January,1,2025,Dominos,Dominos - Online Food,Food,Online Food,Credit Card,1081,debit,Weekend food,No,Wednesday
TXN202501574,2025-01-08,January,1,2025,Haldiram's,Haldiram's - Restaurant,Food,Restaurant,UPI,661,debit,Late night order,No,Wednesday
TXN202500935,2025-01-09,January,1,2025,Metro,Metro - Metro,Transport,Metro,UPI,2464,debit,Weekend travel,No,Thursday
TXN202501115,2025-01-09,January,1,2025,Netmeds,Netmeds - Medicine,Health,Medicine,Credit Card,155,debit,Medicine purchase,No,Thursday
TXN202501351,2025-01-09,January,1,2025,IRCTC,IRCTC - Cab,Transport,Cab,Debit Card,1191,debit,Local travel,No,Thursday
TXN202501577,2025-01-09,January,1,2025,Reliance Fresh,Reliance Fresh - Monthly Grocery,Groceries,Monthly Grocery,Wallet,4183,debit,Grocery refill,No,Thursday
TXN202500204,2025-01-10,January,1,2025,Blinkit,Blinkit - Daily Essentials,Groceries,Daily Essentials,UPI,4233,debit,Grocery refill,No,Friday
TXN202500513,2025-01-10,January,1,2025,Croma,Croma - Electronics,Shopping,Electronics,UPI,5940,debit,Personal item,No,Friday
TXN202501197,2025-01-10,January,1,2025,Flipkart,Flipkart - Personal Care,Shopping,Personal Care,UPI,6702,debit,Sale purchase,No,Friday
TXN202500111,2025-01-11,January,1,2025,Refund,Refund - Salary,Income,Salary,Debit Card,817,credit,Freelance payout,Yes,Saturday
TXN202501462,2025-01-11,January,1,2025,Haldiram's,Haldiram's - Online Food,Food,Online Food,Cash,732,debit,Dinner,No,Saturday
TXN202501630,2025-01-11,January,1,2025,Airtel,Airtel - Internet,Bills & Utilities,Internet,Cash,668,debit,Monthly bill,Yes,Saturday
TXN202500914,2025-01-12,January,1,2025,Blue Tokai,Blue Tokai - Snacks,Coffee,Snacks,Debit Card,509,debit,Weekend cafe,No,Sunday
TXN202501279,2025-01-12,January,1,2025,IRCTC,IRCTC - Train,Transport,Train,UPI,407,debit,Local travel,No,Sunday
TXN202500052,2025-01-13,January,1,2025,Ajio,Ajio - Personal Care,Shopping,Personal Care,UPI,1436,debit,Personal item,No,Monday
TXN202501394,2025-01-13,January,1,2025,Rapido,Rapido - Train,Transport,Train,Credit Card,1429,debit,Local travel,No,Monday
TXN202501521,2025-01-13,January,1,2025,PlayStation Store,PlayStation Store - Events,Entertainment,Events,UPI,697,debit,Game purchase,No,Monday
TXN202500744,2025-01-14,January,1,2025,Google One,Google One - Internet,Bills & Utilities,Internet,Credit Card,2040,debit,Subscription,Yes,Tuesday
TXN202500745,2025-01-14,January,1,2025,More Supermarket,More Supermarket - Household,Groceries,Household,UPI,4090,debit,Fresh produce,No,Tuesday
TXN202501180,2025-01-14,January,1,2025,Swiggy,Swiggy - Snacks,Food,Snacks,UPI,627,debit,Weekend food,No,Tuesday
TXN202500175,2025-01-15,January,1,2025,Haldiram's,Haldiram's - Restaurant,Food,Restaurant,Wallet,868,debit,Lunch order,No,Wednesday
TXN202501088,2025-01-15,January,1,2025,Jio,Jio - Subscription,Bills & Utilities,Subscription,UPI,2648,debit,Recharge,Yes,Wednesday
TXN202501527,2025-01-15,January,1,2025,Swiggy,Swiggy - Snacks,Food,Snacks,UPI,770,debit,Lunch order,No,Wednesday
TXN202500340,2025-01-16,January,1,2025,Ajio,Ajio - Accessories,Shopping,Accessories,UPI,9359,debit,Replacement item,No,Thursday
TXN202501151,2025-01-16,January,1,2025,Dominos,Dominos - Fast Food,Food,Fast Food,UPI,686,debit,Dinner,No,Thursday
TXN202501447,2025-01-16,January,1,2025,IRCTC,IRCTC - Bus,Transport,Bus,Debit Card,1358,debit,Office commute,No,Thursday
TXN202500011,2025-01-17,January,1,2025,BESCOM,BESCOM - Internet,Bills & Utilities,Internet,UPI,2726,debit,Subscription,No,Friday
TXN202500380,2025-01-17,January,1,2025,Zepto,Zepto - Monthly Grocery,Groceries,Monthly Grocery,Credit Card,1211,debit,Grocery refill,No,Friday
TXN202500747,2025-01-17,January,1,2025,BigBasket,BigBasket - Fruits & Vegetables,Groceries,Fruits & Vegetables,Wallet,2073,debit,Grocery refill,No,Friday
TXN202501549,2025-01-17,January,1,2025,Zepto,Zepto - Daily Essentials,Groceries,Daily Essentials,UPI,736,debit,Grocery refill,No,Friday
TXN202501570,2025-01-17,January,1,2025,Metro,Metro - Cab,Transport,Cab,Cash,1591,debit,Weekend travel,No,Friday
TXN202500144,2025-01-18,January,1,2025,RedBus,RedBus - Bike Taxi,Transport,Bike Taxi,UPI,1228,debit,Weekend travel,No,Saturday
TXN202500684,2025-01-18,January,1,2025,Haldiram's,Haldiram's - Online Food,Food,Online Food,Credit Card,576,debit,Office meal,No,Saturday
TXN202500995,2025-01-18,January,1,2025,Swiggy,Swiggy - Snacks,Food,Snacks,Credit Card,995,debit,Weekend food,No,Saturday
TXN202501567,2025-01-18,January,1,2025,Burger King,Burger King - Snacks,Food,Snacks,UPI,323,debit,Lunch order,No,Saturday
TXN202500856,2025-01-19,January,1,2025,Zepto,Zepto - Monthly Grocery,Groceries,Monthly Grocery,UPI,1984,debit,Household items,No,Sunday
TXN202500858,2025-01-19,January,1,2025,BESCOM,BESCOM - Mobile Recharge,Bills & Utilities,Mobile Recharge,Credit Card,524,debit,Subscription,No,Sunday
TXN202501050,2025-01-19,January,1,2025,Rapido,Rapido - Bus,Transport,Bus,Credit Card,2018,debit,Local travel,No,Sunday
TXN202501420,2025-01-19,January,1,2025,Zomato,Zomato - Snacks,Food,Snacks,Debit Card,490,debit,Late night order,No,Sunday
TXN202501633,2025-01-19,January,1,2025,Steam,Steam - Movie,Entertainment,Movie,Credit Card,3440,debit,Event ticket,No,Sunday
TXN202500483,2025-01-20,January,1,2025,McDonalds,McDonalds - Fast Food,Food,Fast Food,Credit Card,972,debit,Lunch order,No,Monday
TXN202501328,2025-01-20,January,1,2025,Zomato,Zomato - Fast Food,Food,Fast Food,Credit Card,558,debit,Lunch order,No,Monday
TXN202500528,2025-01-21,January,1,2025,INOX,INOX - OTT,Entertainment,OTT,Credit Card,673,debit,Movie outing,No,Tuesday
TXN202500573,2025-01-21,January,1,2025,Myntra,Myntra - Accessories,Shopping,Accessories,Cash,2156,debit,Replacement item,No,Tuesday
TXN202500601,2025-01-21,January,1,2025,McDonalds,McDonalds - Fast Food,Food,Fast Food,UPI,906,debit,Dinner,No,Tuesday
TXN202500603,2025-01-21,January,1,2025,Refund,Refund - Salary,Income,Salary,Debit Card,2235,credit,Cashback credited,No,Tuesday
TXN202501034,2025-01-21,January,1,2025,Rapido,Rapido - Bike Taxi,Transport,Bike Taxi,Debit Card,2296,debit,Office commute,No,Tuesday
TXN202501087,2025-01-21,January,1,2025,Uber,Uber - Metro,Transport,Metro,UPI,1185,debit,Airport/Station trip,No,Tuesday
TXN202501332,2025-01-21,January,1,2025,Third Wave Coffee,Third Wave Coffee - Cafe,Coffee,Cafe,UPI,173,debit,Weekend cafe,No,Tuesday
TXN202501610,2025-01-21,January,1,2025,Stationery Shop,Stationery Shop - Books,Education,Books,UPI,6969,debit,Course fee,No,Tuesday
TXN202500249,2025-01-22,January,1,2025,Airtel,Airtel - Mobile Recharge,Bills & Utilities,Mobile Recharge,UPI,2317,debit,Subscription,No,Wednesday
TXN202500379,2025-01-22,January,1,2025,BESCOM,BESCOM - Electricity,Bills & Utilities,Electricity,Wallet,987,debit,Subscription,Yes,Wednesday
TXN202500602,2025-01-22,January,1,2025,Nykaa,Nykaa - Personal Care,Shopping,Personal Care,UPI,7747,debit,Online purchase,No,Wednesday
TXN202501634,2025-01-22,January,1,2025,Dominos,Dominos - Online Food,Food,Online Food,UPI,656,debit,Lunch order,No,Wednesday
TXN202500056,2025-01-23,January,1,2025,Amazon,Amazon - Online Shopping,Shopping,Online Shopping,Wallet,9120,debit,Sale purchase,No,Thursday
TXN202500207,2025-01-23,January,1,2025,More Supermarket,More Supermarket - Daily Essentials,Groceries,Daily Essentials,Wallet,2584,debit,Household items,No,Thursday
TXN202500364,2025-01-23,January,1,2025,Airtel,Airtel - Mobile Recharge,Bills & Utilities,Mobile Recharge,Net Banking,1044,debit,Subscription,No,Thursday
TXN202500419,2025-01-23,January,1,2025,BookMyShow,BookMyShow - Gaming,Entertainment,Gaming,UPI,1689,debit,Event ticket,No,Thursday
TXN202500884,2025-01-23,January,1,2025,Blue Tokai,Blue Tokai - Snacks,Coffee,Snacks,Debit Card,513,debit,Weekend cafe,No,Thursday
TXN202501207,2025-01-23,January,1,2025,CCD,CCD - Beverage,Coffee,Beverage,UPI,195,debit,Quick break,No,Thursday
TXN202500392,2025-01-24,January,1,2025,Blue Tokai,Blue Tokai - Cafe,Coffee,Cafe,UPI,595,debit,Weekend cafe,No,Friday
TXN202500529,2025-01-24,January,1,2025,CCD,CCD - Snacks,Coffee,Snacks,Debit Card,492,debit,Quick break,No,Friday
TXN202500581,2025-01-24,January,1,2025,Amazon,Amazon - Personal Care,Shopping,Personal Care,Wallet,2037,debit,Personal item,No,Friday
TXN202501061,2025-01-24,January,1,2025,Google One,Google One - Internet,Bills & Utilities,Internet,Cash,4371,debit,Monthly bill,No,Friday
TXN202501601,2025-01-24,January,1,2025,Third Wave Coffee,Third Wave Coffee - Beverage,Coffee,Beverage,Cash,547,debit,Meeting,No,Friday
TXN202500312,2025-01-25,January,1,2025,Cashback,Cashback - Refund,Income,Refund,Debit Card,1772,credit,Refund received,Yes,Saturday
TXN202500905,2025-01-25,January,1,2025,Dominos,Dominos - Snacks,Food,Snacks,Wallet,479,debit,Late night order,No,Saturday
TXN202500179,2025-01-26,January,1,2025,Myntra,Myntra - Accessories,Shopping,Accessories,Debit Card,8256,debit,Replacement item,No,Sunday
TXN202500469,2025-01-26,January,1,2025,DMart,DMart - Household,Groceries,Household,UPI,3205,debit,Monthly essentials,No,Sunday
TXN202500701,2025-01-26,January,1,2025,DMart,DMart - Monthly Grocery,Groceries,Monthly Grocery,UPI,1959,debit,Household items,No,Sunday
TXN202501004,2025-01-26,January,1,2025,Reliance Fresh,Reliance Fresh - Fruits & Vegetables,Groceries,Fruits & Vegetables,UPI,3264,debit,Grocery refill,No,Sunday
TXN202500268,2025-01-27,January,1,2025,Ola,Ola - Bus,Transport,Bus,Credit Card,1701,debit,Local travel,No,Monday
TXN202501329,2025-01-27,January,1,2025,DMart,DMart - Fruits & Vegetables,Groceries,Fruits & Vegetables,Debit Card,2145,debit,Grocery refill,No,Monday
TXN202500339,2025-01-28,January,1,2025,CCD,CCD - Cafe,Coffee,Cafe,UPI,530,debit,Meeting,No,Tuesday
TXN202500717,2025-01-28,January,1,2025,BigBasket,BigBasket - Fruits & Vegetables,Groceries,Fruits & Vegetables,Credit Card,1475,debit,Fresh produce,No,Tuesday
TXN202501302,2025-01-28,January,1,2025,PharmEasy,PharmEasy - Consultation,Health,Consultation,Debit Card,3546,debit,Health essentials,No,Tuesday
TXN202501564,2025-01-28,January,1,2025,Reliance Fresh,Reliance Fresh - Household,Groceries,Household,UPI,1917,debit,Grocery refill,No,Tuesday
TXN202500134,2025-01-29,January,1,2025,Dominos,Dominos - Snacks,Food,Snacks,UPI,1237,debit,Office meal,No,Wednesday
TXN202500309,2025-01-29,January,1,2025,Dominos,Dominos - Fast Food,Food,Fast Food,Net Banking,1329,debit,Weekend food,No,Wednesday
TXN202501135,2025-01-29,January,1,2025,More Supermarket,More Supermarket - Household,Groceries,Household,UPI,707,debit,Monthly essentials,No,Wednesday
TXN202501516,2025-01-29,January,1,2025,Haldiram's,Haldiram's - Online Food,Food,Online Food,UPI,349,debit,Weekend food,No,Wednesday
TXN202500020,2025-01-30,January,1,2025,Burger King,Burger King - Online Food,Food,Online Food,UPI,1145,debit,Lunch order,No,Thursday
TXN202500314,2025-01-30,January,1,2025,Rapido,Rapido - Bus,Transport,Bus,Credit Card,1037,debit,Local travel,No,Thursday
TXN202501102,2025-01-30,January,1,2025,Swiggy,Swiggy - Restaurant,Food,Restaurant,UPI,813,debit,Weekend food,No,Thursday
TXN202501144,2025-01-30,January,1,2025,Burger King,Burger King - Online Food,Food,Online Food,Credit Card,550,debit,Dinner,No,Thursday
TXN202501559,2025-01-30,January,1,2025,CCD,CCD - Beverage,Coffee,Beverage,UPI,365,debit,Quick break,No,Thursday
TXN202501572,2025-01-30,January,1,2025,Google One,Google One - Subscription,Bills & Utilities,Subscription,Wallet,2503,debit,Utility payment,Yes,Thursday
TXN202501110,2025-01-31,January,1,2025,Tata 1mg,Tata 1mg - Health Checkup,Health,Health Checkup,Credit Card,5690,debit,Doctor consultation,No,Friday
TXN202501376,2025-01-31,January,1,2025,PharmEasy,PharmEasy - Consultation,Health,Consultation,UPI,1300,debit,Health essentials,No,Friday
TXN202501474,2025-01-31,January,1,2025,Haldiram's,Haldiram's - Fast Food,Food,Fast Food,Credit Card,938,debit,Dinner,No,Friday
TXN202500034,2025-02-01,February,2,2025,Airtel,Airtel - Mobile Recharge,Bills & Utilities,Mobile Recharge,Credit Card,4268,debit,Subscription,Yes,Saturday
TXN202500292,2025-02-01,February,2,2025,Ajio,Ajio - Personal Care,Shopping,Personal Care,UPI,11539,debit,Personal item,No,Saturday
TXN202500825,2025-02-01,February,2,2025,Nykaa,Nykaa - Electronics,Shopping,Electronics,Credit Card,11052,debit,Personal item,No,Saturday
TXN202501051,2025-02-01,February,2,2025,Rapido,Rapido - Bus,Transport,Bus,UPI,280,debit,Weekend travel,No,Saturday
TXN202501626,2025-02-01,February,2,2025,Metro,Metro - Metro,Transport,Metro,Debit Card,1704,debit,Airport/Station trip,No,Saturday
TXN202500163,2025-02-02,February,2,2025,Metro,Metro - Bus,Transport,Bus,Credit Card,1871,debit,Local travel,No,Sunday
TXN202500301,2025-02-02,February,2,2025,Uber,Uber - Cab,Transport,Cab,Wallet,1953,debit,Office commute,No,Sunday
TXN202500860,2025-02-02,February,2,2025,Airtel,Airtel - Mobile Recharge,Bills & Utilities,Mobile Recharge,Credit Card,1955,debit,Monthly bill,No,Sunday
TXN202500200,2025-02-03,February,2,2025,DMart,DMart - Household,Groceries,Household,UPI,2272,debit,Fresh produce,No,Monday
TXN202500920,2025-02-03,February,2,2025,Practo,Practo - Wellness,Health,Wellness,UPI,3474,debit,Health essentials,No,Monday
TXN202500940,2025-02-03,February,2,2025,BigBasket,BigBasket - Monthly Grocery,Groceries,Monthly Grocery,Net Banking,3191,debit,Grocery refill,No,Monday
TXN202501124,2025-02-03,February,2,2025,RedBus,RedBus - Cab,Transport,Cab,UPI,1162,debit,Weekend travel,No,Monday
TXN202501217,2025-02-03,February,2,2025,BookMyShow,BookMyShow - Gaming,Entertainment,Gaming,UPI,778,debit,OTT plan,No,Monday
TXN202500193,2025-02-04,February,2,2025,RedBus,RedBus - Metro,Transport,Metro,Net Banking,1557,debit,Office commute,No,Tuesday
TXN202500327,2025-02-04,February,2,2025,Amazon,Amazon - Electronics,Shopping,Electronics,Credit Card,6413,debit,Online purchase,No,Tuesday
TXN202501520,2025-02-04,February,2,2025,Chaayos,Chaayos - Cafe,Coffee,Cafe,Credit Card,173,debit,Weekend cafe,No,Tuesday
TXN202501535,2025-02-04,February,2,2025,CCD,CCD - Cafe,Coffee,Cafe,UPI,483,debit,Meeting,No,Tuesday
TXN202501544,2025-02-04,February,2,2025,More Supermarket,More Supermarket - Household,Groceries,Household,Cash,1860,debit,Fresh produce,No,Tuesday
TXN202501619,2025-02-04,February,2,2025,IRCTC,IRCTC - Bike Taxi,Transport,Bike Taxi,Debit Card,896,debit,Airport/Station trip,No,Tuesday
TXN202500614,2025-02-05,February,2,2025,McDonalds,McDonalds - Fast Food,Food,Fast Food,UPI,564,debit,Late night order,No,Wednesday
TXN202500025,2025-02-06,February,2,2025,Metro,Metro - Train,Transport,Train,UPI,2026,debit,Airport/Station trip,No,Thursday
TXN202500398,2025-02-06,February,2,2025,Swiggy,Swiggy - Online Food,Food,Online Food,UPI,902,debit,Weekend food,No,Thursday
TXN202501552,2025-02-06,February,2,2025,Stationery Shop,Stationery Shop - Online Course,Education,Online Course,Cash,4072,debit,Course fee,No,Thursday
TXN202500261,2025-02-07,February,2,2025,Reliance Fresh,Reliance Fresh - Fruits & Vegetables,Groceries,Fruits & Vegetables,Net Banking,1802,debit,Grocery refill,No,Friday
TXN202500342,2025-02-07,February,2,2025,CCD,CCD - Beverage,Coffee,Beverage,Debit Card,498,debit,Meeting,No,Friday
TXN202500465,2025-02-07,February,2,2025,Reliance Fresh,Reliance Fresh - Daily Essentials,Groceries,Daily Essentials,Debit Card,1445,debit,Fresh produce,No,Friday
TXN202500847,2025-02-07,February,2,2025,Third Wave Coffee,Third Wave Coffee - Beverage,Coffee,Beverage,UPI,87,debit,Work coffee,No,Friday
TXN202501011,2025-02-07,February,2,2025,Starbucks,Starbucks - Cafe,Coffee,Cafe,UPI,398,debit,Quick break,No,Friday
TXN202500083,2025-02-08,February,2,2025,RedBus,RedBus - Bike Taxi,Transport,Bike Taxi,UPI,1255,debit,Office commute,No,Saturday
TXN202500130,2025-02-08,February,2,2025,Metro,Metro - Metro,Transport,Metro,Credit Card,1648,debit,Office commute,No,Saturday
TXN202500387,2025-02-08,February,2,2025,Amazon,Amazon - Accessories,Shopping,Accessories,Credit Card,4857,debit,Personal item,No,Saturday
TXN202500596,2025-02-08,February,2,2025,Practo,Practo - Medicine,Health,Medicine,Net Banking,4862,debit,Doctor consultation,No,Saturday
TXN202501547,2025-02-08,February,2,2025,Ola,Ola - Bus,Transport,Bus,Wallet,2068,debit,Weekend travel,No,Saturday
TXN202500189,2025-02-09,February,2,2025,Uber,Uber - Bus,Transport,Bus,Credit Card,1451,debit,Weekend travel,No,Sunday
TXN202500296,2025-02-09,February,2,2025,Apollo Pharmacy,Apollo Pharmacy - Medicine,Health,Medicine,Net Banking,4260,debit,Medicine purchase,No,Sunday
TXN202500805,2025-02-09,February,2,2025,Netflix,Netflix - Subscription,Bills & Utilities,Subscription,UPI,3941,debit,Recharge,No,Sunday
TXN202500930,2025-02-09,February,2,2025,RedBus,RedBus - Bike Taxi,Transport,Bike Taxi,Debit Card,2472,debit,Local travel,No,Sunday
TXN202501198,2025-02-09,February,2,2025,Amazon,Amazon - Personal Care,Shopping,Personal Care,UPI,6165,debit,Sale purchase,No,Sunday
TXN202501380,2025-02-09,February,2,2025,Blue Tokai,Blue Tokai - Cafe,Coffee,Cafe,Debit Card,224,debit,Quick break,No,Sunday
TXN202501583,2025-02-09,February,2,2025,Uber,Uber - Bus,Transport,Bus,UPI,855,debit,Weekend travel,No,Sunday
TXN202501636,2025-02-09,February,2,2025,Blue Tokai,Blue Tokai - Cafe,Coffee,Cafe,UPI,267,debit,Work coffee,No,Sunday
TXN202500229,2025-02-10,February,2,2025,Blinkit,Blinkit - Fruits & Vegetables,Groceries,Fruits & Vegetables,UPI,905,debit,Fresh produce,No,Monday
TXN202500247,2025-02-10,February,2,2025,Haldiram's,Haldiram's - Restaurant,Food,Restaurant,UPI,770,debit,Late night order,No,Monday
TXN202500702,2025-02-10,February,2,2025,RedBus,RedBus - Cab,Transport,Cab,UPI,1954,debit,Weekend travel,No,Monday
TXN202501219,2025-02-10,February,2,2025,Reliance Fresh,Reliance Fresh - Fruits & Vegetables,Groceries,Fruits & Vegetables,UPI,1868,debit,Grocery refill,No,Monday
TXN202500037,2025-02-11,February,2,2025,DMart,DMart - Fruits & Vegetables,Groceries,Fruits & Vegetables,Wallet,1923,debit,Fresh produce,No,Tuesday
TXN202500078,2025-02-11,February,2,2025,RedBus,RedBus - Bus,Transport,Bus,UPI,1152,debit,Office commute,No,Tuesday
TXN202500104,2025-02-11,February,2,2025,Zomato,Zomato - Online Food,Food,Online Food,UPI,986,debit,Office meal,No,Tuesday
TXN202500166,2025-02-11,February,2,2025,Blinkit,Blinkit - Monthly Grocery,Groceries,Monthly Grocery,UPI,2913,debit,Household items,No,Tuesday
TXN202500201,2025-02-11,February,2,2025,Ola,Ola - Metro,Transport,Metro,UPI,1779,debit,Local travel,No,Tuesday
TXN202500471,2025-02-11,February,2,2025,Uber,Uber - Metro,Transport,Metro,Net Banking,1118,debit,Office commute,No,Tuesday
TXN202500898,2025-02-11,February,2,2025,Blinkit,Blinkit - Fruits & Vegetables,Groceries,Fruits & Vegetables,Wallet,880,debit,Monthly essentials,No,Tuesday
TXN202501129,2025-02-11,February,2,2025,BookMyShow,BookMyShow - Gaming,Entertainment,Gaming,Wallet,1934,debit,Movie outing,No,Tuesday
TXN202500334,2025-02-12,February,2,2025,Rapido,Rapido - Metro,Transport,Metro,Credit Card,486,debit,Office commute,No,Wednesday
TXN202500198,2025-02-13,February,2,2025,Ola,Ola - Cab,Transport,Cab,UPI,1813,debit,Local travel,No,Thursday
TXN202500346,2025-02-13,February,2,2025,Nykaa,Nykaa - Electronics,Shopping,Electronics,Credit Card,3077,debit,Replacement item,No,Thursday
TXN202500362,2025-02-13,February,2,2025,CCD,CCD - Beverage,Coffee,Beverage,UPI,288,debit,Quick break,No,Thursday
TXN202501285,2025-02-13,February,2,2025,Refund,Refund - Refund,Income,Refund,Wallet,802,credit,Freelance payout,No,Thursday
TXN202501408,2025-02-13,February,2,2025,Swiggy,Swiggy - Snacks,Food,Snacks,Debit Card,558,debit,Office meal,No,Thursday
TXN202500344,2025-02-14,February,2,2025,McDonalds,McDonalds - Snacks,Food,Snacks,UPI,333,debit,Weekend food,No,Friday
TXN202500401,2025-02-14,February,2,2025,Netmeds,Netmeds - Medicine,Health,Medicine,Credit Card,3265,debit,Doctor consultation,No,Friday
TXN202500632,2025-02-14,February,2,2025,Cashback,Cashback - Refund,Income,Refund,Debit Card,1760,credit,Refund received,Yes,Friday
TXN202500765,2025-02-14,February,2,2025,Blue Tokai,Blue Tokai - Cafe,Coffee,Cafe,UPI,243,debit,Weekend cafe,No,Friday
TXN202500881,2025-02-14,February,2,2025,DMart,DMart - Household,Groceries,Household,Cash,2023,debit,Household items,No,Friday
TXN202501046,2025-02-14,February,2,2025,Reliance Fresh,Reliance Fresh - Daily Essentials,Groceries,Daily Essentials,Credit Card,428,debit,Monthly essentials,No,Friday
TXN202501541,2025-02-14,February,2,2025,RedBus,RedBus - Cab,Transport,Cab,UPI,47,debit,Weekend travel,No,Friday
TXN202500187,2025-02-15,February,2,2025,BigBasket,BigBasket - Daily Essentials,Groceries,Daily Essentials,Credit Card,3530,debit,Monthly essentials,No,Saturday
TXN202500671,2025-02-15,February,2,2025,Zepto,Zepto - Household,Groceries,Household,UPI,2736,debit,Monthly essentials,No,Saturday
TXN202501401,2025-02-15,February,2,2025,Blue Tokai,Blue Tokai - Beverage,Coffee,Beverage,Wallet,619,debit,Evening coffee,No,Saturday
TXN202501513,2025-02-15,February,2,2025,Google One,Google One - Internet,Bills & Utilities,Internet,Net Banking,4344,debit,Recharge,Yes,Saturday
TXN202500177,2025-02-16,February,2,2025,Jio,Jio - Subscription,Bills & Utilities,Subscription,UPI,2941,debit,Subscription,Yes,Sunday
TXN202500298,2025-02-16,February,2,2025,Tata 1mg,Tata 1mg - Medicine,Health,Medicine,Credit Card,4324,debit,Doctor consultation,No,Sunday
